model_uid,model_source,model_name,weights
devtimm_convnext_large_mlp_clip_laion2b_ft_320,timm,convnext_large_mlp,clip_laion2b_ft_320
devtimm_convnext_large_mlp_clip_laion2b_ft_soup_320,timm,convnext_large_mlp,clip_laion2b_ft_soup_320
devtimm_convnext_nano_d1h_in1k,timm,convnext_nano,d1h_in1k
devtimm_convnext_nano_in12k,timm,convnext_nano,in12k
devtimm_convnext_nano_in12k_ft_in1k,timm,convnext_nano,in12k_ft_in1k
devtimm_convnext_nano_ols_d1h_in1k,timm,convnext_nano_ols,d1h_in1k
devtimm_convnext_pico_d1_in1k,timm,convnext_pico,d1_in1k
devtimm_convnext_pico_ols_d1_in1k,timm,convnext_pico_ols,d1_in1k
devtimm_convnext_small_fb_in1k,timm,convnext_small,fb_in1k
devtimm_convnext_small_fb_in22k,timm,convnext_small,fb_in22k
devtimm_convnext_small_fb_in22k_ft_in1k,timm,convnext_small,fb_in22k_ft_in1k
devtimm_convnext_small_fb_in22k_ft_in1k_384,timm,convnext_small,fb_in22k_ft_in1k_384
devtimm_convnext_small_in12k,timm,convnext_small,in12k
devtimm_convnext_small_in12k_ft_in1k,timm,convnext_small,in12k_ft_in1k
devtimm_convnext_small_in12k_ft_in1k_384,timm,convnext_small,in12k_ft_in1k_384
devtimm_convnext_tiny_fb_in1k,timm,convnext_tiny,fb_in1k
devtimm_convnext_tiny_fb_in22k,timm,convnext_tiny,fb_in22k
devtimm_convnext_tiny_fb_in22k_ft_in1k,timm,convnext_tiny,fb_in22k_ft_in1k
devtimm_convnext_tiny_fb_in22k_ft_in1k_384,timm,convnext_tiny,fb_in22k_ft_in1k_384
devtimm_convnext_tiny_in12k,timm,convnext_tiny,in12k
devtimm_convnext_tiny_in12k_ft_in1k,timm,convnext_tiny,in12k_ft_in1k
devtimm_convnext_tiny_in12k_ft_in1k_384,timm,convnext_tiny,in12k_ft_in1k_384
devtimm_convnext_tiny_hnf_a2h_in1k,timm,convnext_tiny_hnf,a2h_in1k
devtimm_convnext_xlarge_fb_in22k,timm,convnext_xlarge,fb_in22k
devtimm_convnext_xlarge_fb_in22k_ft_in1k,timm,convnext_xlarge,fb_in22k_ft_in1k
